species_rank,species_common_name,species_scientific_name,species_slug,target_sample_count,selection_bucket,reuse_old_pass_allowed,selection_rank,selected_for_v2_review,recording_cap_applied,audio_event_id,recording_id,audio_recording_uuid,score,quality_score,event_start_s,event_end_s,duration_s,low_frequency_hertz,high_frequency_hertz,diel_bin,season,sample_local_date,recording_duration_s,canonical_file_name,notes_relative_path,source_annotation_csv,listen_url,library_url,candidate_status,reject_reason,warning_reason,reused_from_prior_library,prior_library_path,prior_retrieval_audio_path,prior_retrieval_spectrogram_path,prior_source_audio_path,prior_notes
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,12,true,10,3216034,214796,559ba102-5fa8-4018-a96b-b301dfc04f0f,0.999200,0.999200,5178.0000,5181.0000,3.0000,,,dawn,spring,2019-11-15,7194.749,20191115T060000+1000_Bowra-Dry-A_214796.flac,20200506_65/257/0591/20191115_AAO/20191115T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214796/site_257_item_214796.csv,https://data.acousticobservatory.org/listen/214796?start=5160&end=5190,https://data.acousticobservatory.org/library/214796/audio_events/3216034,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,13,true,10,24016498,214857,53dd214d-05c3-4f13-bcc5-aa585d21dc1a,0.999200,0.999200,1776.0000,1779.0000,3.0000,,,dawn,spring,2019-11-20,7194.749,20191120T060000+1000_Bowra-Dry-A_214857.flac,20200506_65/257/0591/20191120_AAO/20191120T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214857/site_257_item_214857.csv,https://data.acousticobservatory.org/listen/214857?start=1770&end=1800,https://data.acousticobservatory.org/library/214857/audio_events/24016498,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,14,true,10,4925901,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.999100,0.999100,786.0000,789.0000,3.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=780&end=810,https://data.acousticobservatory.org/library/1539179/audio_events/4925901,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,15,true,10,4925867,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.999100,0.999100,459.0000,465.0000,6.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=450&end=480,https://data.acousticobservatory.org/library/1539179/audio_events/4925867,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,16,true,10,3840980,1678493,f0c12f42-fca7-4f7c-bdfa-39773749be97,0.998900,0.998900,357.0000,360.0000,3.0000,,,dawn,spring,2024-10-08,7194.8423,20241008T060000+1000_Bowra-Dry-A_1678493.flac,harvest_145/65/257/157/20241008_AAO/20241008T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1678493/site_257_item_1678493.csv,https://data.acousticobservatory.org/listen/1678493?start=330&end=360,https://data.acousticobservatory.org/library/1678493/audio_events/3840980,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,17,true,10,7914475,215200,ff16bc1c-2202-4a55-8728-5cf26aaefaf5,0.998900,0.998900,768.0000,771.0000,3.0000,,,dawn,summer,2019-12-19,7194.749,20191219T060000+1000_Bowra-Dry-A_215200.flac,20200506_65/257/0591/20191219_AAO/20191219T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_215200/site_257_item_215200.csv,https://data.acousticobservatory.org/listen/215200?start=750&end=780,https://data.acousticobservatory.org/library/215200/audio_events/7914475,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,18,true,10,10406229,445676,52a85f28-bf7f-4d0f-baec-14dbf1a651b6,0.998900,0.998900,4953.0000,4956.0000,3.0000,,,afternoon,spring,2020-09-12,7194.842,20200912T140000+1000_Bowra-Dry-A_445676.flac,20210614_65/257/474/20200912_AAO/20200912T140000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_445676/site_257_item_445676.csv,https://data.acousticobservatory.org/listen/445676?start=4950&end=4980,https://data.acousticobservatory.org/library/445676/audio_events/10406229,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,19,true,10,4925891,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.998700,0.998700,684.0000,687.0000,3.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=660&end=690,https://data.acousticobservatory.org/library/1539179/audio_events/4925891,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,20,true,10,5251199,4974,5f4c1428-7c2c-4d72-ae9c-931e81bc02ab,0.998700,0.998700,3261.0000,3264.0000,3.0000,,,morning,winter,2019-08-27,7194.749,20190827T080000+1000_Bowra-Dry-A_4974.flac,20190827_AAO/20190827T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_4974/site_257_item_4974.csv,https://data.acousticobservatory.org/listen/4974?start=3240&end=3270,https://data.acousticobservatory.org/library/4974/audio_events/5251199,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,21,true,10,4925913,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.998600,0.998600,885.0000,888.0000,3.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=870&end=900,https://data.acousticobservatory.org/library/1539179/audio_events/4925913,candidate,,missing_annotation_frequency_box,false,,,,,
