group,name,path,duration_s,peak,mean_0_2k_db,mean_2_8k_db,mean_8_11k_db,ratio_2_8_minus_0_2_db
training_real,040__rec_1313196__clip_003__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/040__rec_1313196__clip_003__win_00__rain.wav,5.0,0.646118,-61.617554,-65.490044,-75.790871,-3.87249
training_real,041__rec_1313196__clip_003__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/041__rec_1313196__clip_003__win_01__rain.wav,5.0,0.824707,-59.364761,-63.844856,-75.090988,-4.480095
training_real,042__rec_1313196__clip_003__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/042__rec_1313196__clip_003__win_02__rain.wav,5.0,0.792725,-59.9333,-63.674397,-74.951569,-3.741096
training_real,043__rec_1313196__clip_004__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/043__rec_1313196__clip_004__win_00__rain.wav,5.0,0.463745,-64.830566,-67.370796,-78.602577,-2.54023
training_real,044__rec_1313196__clip_004__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/044__rec_1313196__clip_004__win_01__rain.wav,5.0,0.812958,-63.816074,-66.462158,-78.570351,-2.646084
training_real,045__rec_1313196__clip_004__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/045__rec_1313196__clip_004__win_02__rain.wav,5.0,0.450928,-63.274666,-66.33197,-77.792946,-3.057304
training_real,046__rec_1313196__clip_005__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/046__rec_1313196__clip_005__win_00__rain.wav,5.0,0.732056,-62.412189,-65.727112,-77.713715,-3.314922
training_real,047__rec_1313196__clip_005__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/047__rec_1313196__clip_005__win_01__rain.wav,5.0,0.812073,-62.984055,-66.339592,-78.360199,-3.355537
training_real,048__rec_1313196__clip_005__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/048__rec_1313196__clip_005__win_02__rain.wav,5.0,0.326294,-63.442745,-67.170197,-78.312332,-3.727451
training_real,049__rec_1313196__clip_006__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/049__rec_1313196__clip_006__win_00__rain.wav,5.0,0.505493,-61.747444,-67.004967,-77.898109,-5.257523
training_real,050__rec_1313196__clip_006__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/050__rec_1313196__clip_006__win_01__rain.wav,5.0,0.21814,-64.143311,-68.018311,-78.444649,-3.875
training_real,051__rec_1313196__clip_006__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/051__rec_1313196__clip_006__win_02__rain.wav,5.0,0.304108,-63.61396,-67.901505,-78.660156,-4.287544
training_real,052__rec_1401415__clip_001__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/052__rec_1401415__clip_001__win_00__rain.wav,5.0,1.0,-47.660671,-52.805958,-62.779903,-5.145287
training_real,053__rec_1401415__clip_001__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/053__rec_1401415__clip_001__win_01__rain.wav,5.0,1.0,-47.367294,-52.099087,-61.663471,-4.731792
training_real,054__rec_1401415__clip_001__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/054__rec_1401415__clip_001__win_02__rain.wav,5.0,1.0,-46.239792,-51.629593,-60.600727,-5.389801
training_real,055__rec_1401415__clip_002__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/055__rec_1401415__clip_002__win_00__rain.wav,5.0,0.350098,-59.521027,-65.948555,-77.408638,-6.427528
training_real,056__rec_1401415__clip_002__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/056__rec_1401415__clip_002__win_01__rain.wav,5.0,0.416443,-59.605305,-66.301193,-77.244789,-6.695889
training_real,057__rec_1401415__clip_002__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/057__rec_1401415__clip_002__win_02__rain.wav,5.0,0.397247,-59.661564,-66.324165,-77.56781,-6.662601
training_real,058__rec_1401640__clip_001__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/058__rec_1401640__clip_001__win_02__rain.wav,5.0,0.232574,-68.383232,-72.881691,-86.16568,-4.498459
training_real,059__rec_1401640__clip_002__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/059__rec_1401640__clip_002__win_02__rain.wav,5.0,0.563293,-63.40958,-67.295898,-80.28978,-3.886318
training_real,060__rec_1401640__clip_003__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/060__rec_1401640__clip_003__win_00__rain.wav,5.0,0.248138,-65.782936,-72.166809,-83.843636,-6.383873
training_real,061__rec_1401640__clip_004__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/061__rec_1401640__clip_004__win_00__rain.wav,5.0,0.799103,-54.717178,-58.126339,-69.774017,-3.409161
training_real,062__rec_1401640__clip_005__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/062__rec_1401640__clip_005__win_01__rain.wav,5.0,0.056213,-71.854927,-83.280121,-94.123802,-11.425194
training_real,063__rec_1401640__clip_007__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/063__rec_1401640__clip_007__win_02__rain.wav,5.0,0.335541,-58.575493,-63.013302,-74.142899,-4.437809
training_real,064__rec_1401640__clip_008__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/064__rec_1401640__clip_008__win_01__rain.wav,5.0,0.996246,-54.68499,-59.556507,-70.350159,-4.871517
training_real,065__rec_1401640__clip_009__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/065__rec_1401640__clip_009__win_02__rain.wav,5.0,0.999969,-49.709332,-54.789398,-64.58149,-5.080067
training_real,066__rec_1401640__clip_010__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/066__rec_1401640__clip_010__win_01__rain.wav,5.0,0.728668,-52.695229,-61.084949,-73.61129,-8.389721
training_real,067__rec_1401640__clip_011__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/067__rec_1401640__clip_011__win_00__rain.wav,5.0,0.69751,-56.578297,-62.10474,-72.919022,-5.526443
training_real,068__rec_1401640__clip_012__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/068__rec_1401640__clip_012__win_00__rain.wav,5.0,0.61026,-58.46751,-67.055412,-78.058578,-8.587902
training_real,069__rec_1401640__clip_013__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/069__rec_1401640__clip_013__win_01__rain.wav,5.0,0.174713,-66.090286,-73.006584,-83.980179,-6.916298
training_real,070__rec_1401640__clip_014__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/070__rec_1401640__clip_014__win_01__rain.wav,5.0,0.678528,-67.21283,-79.013222,-90.429352,-11.800392
training_real,071__rec_1401640__clip_015__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/071__rec_1401640__clip_015__win_02__rain.wav,5.0,0.129486,-70.622528,-81.778992,-92.86441,-11.156464
training_real,072__rec_1401640__clip_016__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/072__rec_1401640__clip_016__win_02__rain.wav,5.0,0.06131,-75.105072,-86.857124,-95.290443,-11.752052
