frequency_hz,mean_psd_db,std_psd_db
3359.1796875,-67.81727600097656,9.562716484069824
3369.9462890625,-67.79898834228516,9.544682502746582
3380.712890625,-67.73916625976562,9.574481964111328
3391.4794921875,-67.75538635253906,9.54599380493164
3402.24609375,-67.82015991210938,9.52341365814209
3413.0126953125,-67.77091217041016,9.593168258666992
3423.779296875,-67.7976303100586,9.591127395629883
3434.5458984375,-67.871337890625,9.531851768493652
3445.3125,-67.87085723876953,9.613762855529785
3456.0791015625,-67.85520935058594,9.669061660766602
3466.845703125,-67.82166290283203,9.71833324432373
3477.6123046875,-67.86637115478516,9.669206619262695
3488.37890625,-67.8974838256836,9.69970703125
3499.1455078125,-67.77005004882812,9.704401016235352
3509.912109375,-67.71363067626953,9.716941833496094
3520.6787109375,-67.74298858642578,9.754617691040039
3531.4453125,-67.78488159179688,9.755331039428711
3542.2119140625,-67.73916625976562,9.694502830505371
3552.978515625,-67.67417907714844,9.738455772399902
3563.7451171875,-67.71853637695312,9.737024307250977
3574.51171875,-67.72753143310547,9.70601749420166
3585.2783203125,-67.79193878173828,9.706570625305176
3596.044921875,-67.80567932128906,9.752832412719727
3606.8115234375,-67.72200012207031,9.723584175109863
3617.578125,-67.73867797851562,9.8098726272583
3628.3447265625,-67.66717529296875,9.794939041137695
3639.111328125,-67.57403564453125,9.752318382263184
3649.8779296875,-67.61443328857422,9.815790176391602
3660.64453125,-67.68008422851562,9.878622055053711
3671.4111328125,-67.78413391113281,9.831085205078125
3682.177734375,-67.78688049316406,9.777101516723633
3692.9443359375,-67.70001220703125,9.884072303771973
3703.7109375,-67.61215209960938,9.906494140625
3714.4775390625,-67.64547729492188,9.881736755371094
3725.244140625,-67.75289154052734,9.883051872253418
3736.0107421875,-67.84230041503906,9.89200210571289
3746.77734375,-67.90200805664062,9.880763053894043
3757.5439453125,-67.88399505615234,9.765776634216309
3768.310546875,-67.94586944580078,9.729198455810547
3779.0771484375,-68.01073455810547,9.716316223144531
3789.84375,-68.01751708984375,9.72093677520752
3800.6103515625,-67.91722106933594,9.711991310119629
3811.376953125,-67.85946655273438,9.719746589660645
3822.1435546875,-67.96261596679688,9.6834135055542
3832.91015625,-67.93358612060547,9.830083847045898
3843.6767578125,-67.94831085205078,9.844888687133789
3854.443359375,-67.9672622680664,9.779046058654785
3865.2099609375,-68.0385513305664,9.803581237792969
3875.9765625,-68.07270812988281,9.805948257446289
3886.7431640625,-68.08120727539062,9.758505821228027
3897.509765625,-68.1294937133789,9.698579788208008
3908.2763671875,-68.10928344726562,9.66650676727295
3919.04296875,-68.02887725830078,9.736379623413086
3929.8095703125,-68.0048599243164,9.80419635772705
3940.576171875,-68.02610778808594,9.868118286132812
3951.3427734375,-68.05314636230469,9.85261344909668
3962.109375,-68.08741760253906,9.794525146484375
3972.8759765625,-68.10443878173828,9.822575569152832
3983.642578125,-68.10405731201172,9.822360038757324
3994.4091796875,-68.1543960571289,9.933382987976074
4005.17578125,-68.17557525634766,9.983271598815918
4015.9423828125,-68.13678741455078,9.90225601196289
4026.708984375,-68.18115234375,9.779114723205566
4037.4755859375,-68.21044921875,9.738162994384766
4048.2421875,-68.26480865478516,9.692320823669434
4059.0087890625,-68.32402038574219,9.655045509338379
4069.775390625,-68.20674896240234,9.7493314743042
4080.5419921875,-68.17504119873047,9.79983901977539
4091.30859375,-68.23221588134766,9.691278457641602
4102.0751953125,-68.38921356201172,9.663776397705078
4112.841796875,-68.58305358886719,9.633307456970215
4123.6083984375,-68.71722412109375,9.554115295410156
4134.375,-68.7731704711914,9.486181259155273
4145.1416015625,-68.75531768798828,9.45546817779541
4155.908203125,-68.71691131591797,9.427172660827637
4166.6748046875,-68.73892211914062,9.496614456176758
4177.44140625,-68.85633850097656,9.427841186523438
4188.2080078125,-68.93189239501953,9.32563591003418
4198.974609375,-68.98591613769531,9.348418235778809
4209.7412109375,-69.00399780273438,9.51994800567627
4220.5078125,-68.96935272216797,9.538089752197266
4231.2744140625,-68.93914031982422,9.513715744018555
4242.041015625,-68.91795349121094,9.519847869873047
4252.8076171875,-68.86752319335938,9.577569007873535
4263.57421875,-68.88583374023438,9.488340377807617
4274.3408203125,-68.95132446289062,9.51060676574707
4285.107421875,-69.00450134277344,9.557100296020508
4295.8740234375,-69.0045166015625,9.541003227233887
4306.640625,-69.02880096435547,9.437723159790039
4317.4072265625,-68.94983673095703,9.4895601272583
4328.173828125,-68.8785400390625,9.556655883789062
4338.9404296875,-68.88924407958984,9.559700965881348
4349.70703125,-68.9228744506836,9.617973327636719
4360.4736328125,-68.88427734375,9.649260520935059
4371.240234375,-68.86907196044922,9.657133102416992
4382.0068359375,-68.77006530761719,9.629115104675293
4392.7734375,-68.79371643066406,9.61018180847168
4403.5400390625,-68.8378677368164,9.664846420288086
4414.306640625,-68.78659057617188,9.724066734313965
4425.0732421875,-68.68458557128906,9.658498764038086
4435.83984375,-68.66503143310547,9.659358024597168
4446.6064453125,-68.63553619384766,9.713075637817383
4457.373046875,-68.6490478515625,9.634586334228516
4468.1396484375,-68.62330627441406,9.630117416381836
4478.90625,-68.61749267578125,9.654823303222656
4489.6728515625,-68.71949768066406,9.610570907592773
4500.439453125,-68.82582092285156,9.571832656860352
4511.2060546875,-68.88629913330078,9.494895935058594
4521.97265625,-68.95404052734375,9.519577026367188
4532.7392578125,-69.08930969238281,9.598105430603027
4543.505859375,-69.10054016113281,9.666942596435547
4554.2724609375,-69.10541534423828,9.725641250610352
4565.0390625,-69.14508056640625,9.7733736038208
4575.8056640625,-69.1242904663086,9.780152320861816
4586.572265625,-69.05584716796875,9.799873352050781
4597.3388671875,-68.98800659179688,9.79258918762207
4608.10546875,-69.04802703857422,9.745384216308594
4618.8720703125,-69.10077667236328,9.771621704101562
4629.638671875,-69.0789794921875,9.730993270874023
4640.4052734375,-69.08877563476562,9.743648529052734
4651.171875,-69.02401733398438,9.839735984802246
4661.9384765625,-68.99149322509766,9.764208793640137
4672.705078125,-68.95297241210938,9.736873626708984
4683.4716796875,-68.92169952392578,9.784130096435547
4694.23828125,-68.91781616210938,9.753080368041992
4705.0048828125,-68.88858032226562,9.756667137145996
4715.771484375,-68.89320373535156,9.796894073486328
4726.5380859375,-68.89646911621094,9.75925350189209
4737.3046875,-68.82688903808594,9.81362247467041
4748.0712890625,-68.91019439697266,9.834005355834961
4758.837890625,-68.87582397460938,9.798480987548828
4769.6044921875,-68.83356475830078,9.848492622375488
4780.37109375,-68.84391021728516,9.843626022338867
4791.1376953125,-68.79261779785156,9.857747077941895
4801.904296875,-68.77906799316406,9.89548397064209
4812.6708984375,-68.84890747070312,9.926529884338379
4823.4375,-68.94404602050781,9.919493675231934
4834.2041015625,-68.95146179199219,9.857425689697266
4844.970703125,-68.93878936767578,9.843777656555176
4855.7373046875,-68.94930267333984,9.820589065551758
4866.50390625,-68.94761657714844,9.780552864074707
4877.2705078125,-68.97758483886719,9.735687255859375
4888.037109375,-69.02288818359375,9.768505096435547
4898.8037109375,-68.99052429199219,9.752605438232422
4909.5703125,-69.08554077148438,9.681835174560547
4920.3369140625,-69.16573333740234,9.597532272338867
4931.103515625,-69.1874771118164,9.603580474853516
4941.8701171875,-69.13002014160156,9.731232643127441
4952.63671875,-69.14942169189453,9.743185043334961
4963.4033203125,-69.18585205078125,9.71800708770752
4974.169921875,-69.19921112060547,9.768765449523926
4984.9365234375,-69.21514129638672,9.702909469604492
4995.703125,-69.22428131103516,9.732772827148438
5006.4697265625,-69.16539764404297,9.730595588684082
5017.236328125,-69.11312103271484,9.667344093322754
5028.0029296875,-69.23844146728516,9.663702011108398
5038.76953125,-69.23448944091797,9.767932891845703
5049.5361328125,-69.15263366699219,9.690418243408203
5060.302734375,-69.1746597290039,9.612288475036621
5071.0693359375,-69.10523223876953,9.711009979248047
5081.8359375,-69.09810638427734,9.804168701171875
5092.6025390625,-69.06816864013672,9.806318283081055
5103.369140625,-69.01468658447266,9.783162117004395
5114.1357421875,-68.94831085205078,9.740753173828125
5124.90234375,-68.93252563476562,9.818648338317871
5135.6689453125,-68.91663360595703,9.898238182067871
5146.435546875,-68.85667419433594,9.877252578735352
5157.2021484375,-68.90931701660156,9.835071563720703
5167.96875,-68.89974975585938,9.856943130493164
5178.7353515625,-68.89903259277344,9.861552238464355
5189.501953125,-68.93693542480469,9.824531555175781
5200.2685546875,-68.9429931640625,9.832098007202148
5211.03515625,-68.91716003417969,9.884858131408691
5221.8017578125,-68.99068450927734,9.926738739013672
5232.568359375,-69.07818603515625,9.90750789642334
5243.3349609375,-69.01945495605469,9.89696216583252
5254.1015625,-69.00601959228516,9.968612670898438
5264.8681640625,-69.00379180908203,9.974833488464355
5275.634765625,-68.98681640625,9.888129234313965
5286.4013671875,-69.05480194091797,9.87177848815918
5297.16796875,-69.16144561767578,9.918469429016113
5307.9345703125,-69.14701843261719,9.930279731750488
5318.701171875,-69.1415786743164,9.93315315246582
5329.4677734375,-69.21061706542969,9.876404762268066
5340.234375,-69.21237182617188,9.85545825958252
5351.0009765625,-69.19379425048828,9.894095420837402
5361.767578125,-69.2548599243164,9.918009757995605
5372.5341796875,-69.22528839111328,9.968234062194824
5383.30078125,-69.20266723632812,9.929815292358398
5394.0673828125,-69.31561279296875,9.877948760986328
5404.833984375,-69.26669311523438,9.94487476348877
5415.6005859375,-69.29187774658203,9.851180076599121
5426.3671875,-69.3082275390625,9.786446571350098
5437.1337890625,-69.32099914550781,9.747279167175293
5447.900390625,-69.33275604248047,9.854501724243164
5458.6669921875,-69.36331176757812,9.906209945678711
5469.43359375,-69.41731262207031,9.790329933166504
5480.2001953125,-69.45327758789062,9.827383995056152
5490.966796875,-69.47181701660156,9.939105987548828
5501.7333984375,-69.45691680908203,9.893765449523926
5512.5,-69.4186019897461,9.905801773071289
5523.2666015625,-69.48750305175781,9.872504234313965
5534.033203125,-69.42332458496094,9.889317512512207
5544.7998046875,-69.36465454101562,9.917579650878906
5555.56640625,-69.40098571777344,9.975728034973145
5566.3330078125,-69.4400405883789,9.975177764892578
5577.099609375,-69.5169677734375,9.946844100952148
5587.8662109375,-69.51976013183594,9.95040225982666
5598.6328125,-69.48638916015625,9.985980987548828
5609.3994140625,-69.50555419921875,10.045357704162598
5620.166015625,-69.51497650146484,9.971158027648926
5630.9326171875,-69.56792449951172,9.967334747314453
5641.69921875,-69.59497833251953,9.979348182678223
5652.4658203125,-69.59263610839844,9.983484268188477
5663.232421875,-69.47944641113281,9.922449111938477
5673.9990234375,-69.44668579101562,9.92270278930664
5684.765625,-69.55239868164062,9.927751541137695
5695.5322265625,-69.5749740600586,9.950940132141113
5706.298828125,-69.62139892578125,9.997451782226562
5717.0654296875,-69.62753295898438,9.942288398742676
5727.83203125,-69.63985443115234,10.0287446975708
5738.5986328125,-69.69064331054688,10.01849365234375
5749.365234375,-69.65934753417969,10.031482696533203
5760.1318359375,-69.7483139038086,9.996903419494629
5770.8984375,-69.7359848022461,9.983181953430176
5781.6650390625,-69.74410247802734,9.971619606018066
5792.431640625,-69.72859191894531,10.007046699523926
5803.1982421875,-69.76010131835938,10.038816452026367
5813.96484375,-69.89834594726562,9.979349136352539
5824.7314453125,-69.98192596435547,10.036144256591797
5835.498046875,-69.94705963134766,10.040517807006836
5846.2646484375,-69.92450714111328,9.9562349319458
5857.03125,-69.92186737060547,9.985047340393066
5867.7978515625,-69.93347930908203,9.91408634185791
5878.564453125,-69.90576934814453,9.95887279510498
5889.3310546875,-69.9296646118164,10.05175495147705
5900.09765625,-69.96495819091797,10.005668640136719
5910.8642578125,-70.0074691772461,9.943811416625977
5921.630859375,-69.95413208007812,9.902835845947266
5932.3974609375,-69.9672622680664,9.962653160095215
5943.1640625,-70.07460021972656,9.95683479309082
5953.9306640625,-70.10315704345703,9.973104476928711
5964.697265625,-70.04289245605469,9.963286399841309
5975.4638671875,-70.07776641845703,9.985601425170898
5986.23046875,-70.19084930419922,9.98802375793457
5996.9970703125,-70.15721130371094,9.940946578979492
6007.763671875,-70.1041259765625,9.960232734680176
6018.5302734375,-70.10999298095703,10.044995307922363
6029.296875,-70.11900329589844,10.005480766296387
6040.0634765625,-70.13605499267578,9.969991683959961
6050.830078125,-70.2401123046875,9.855224609375
6061.5966796875,-70.290283203125,9.942625999450684
6072.36328125,-70.33499145507812,9.902653694152832
6083.1298828125,-70.3064956665039,9.909092903137207
6093.896484375,-70.3159408569336,10.034475326538086
6104.6630859375,-70.34476470947266,9.957412719726562
6115.4296875,-70.33279418945312,9.939799308776855
6126.1962890625,-70.4719009399414,9.918893814086914
6136.962890625,-70.53378295898438,9.899368286132812
6147.7294921875,-70.54385375976562,10.00696086883545
6158.49609375,-70.54517364501953,10.090359687805176
