validation_role,filename,source_s3_uri,source_recording_id,source_clip_num,window_index,murphy_pool_label,eb_overall_label,eb_rain_present,eb_rain_intensity,eb_rain_confidence,eb_wind_present,eb_wind_intensity,eb_wind_confidence,eb_thunder_present,eb_thunder_intensity,eb_thunder_confidence
external_cross_check_not_training_data,030__rec_1313184__clip_012__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_012.webm,1313184,12,2,rain,rain,True,heavy,0.592983,False,none,0.273064,False,none,0.249552
external_cross_check_not_training_data,031__rec_1313184__clip_013__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_013.webm,1313184,13,0,rain,rain,True,heavy,0.589073,False,none,0.268951,False,none,0.226567
external_cross_check_not_training_data,032__rec_1313184__clip_013__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_013.webm,1313184,13,1,rain,rain,True,heavy,0.589903,False,none,0.268825,False,none,0.233773
external_cross_check_not_training_data,033__rec_1313184__clip_013__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_013.webm,1313184,13,2,rain,rain,True,heavy,0.593882,False,none,0.269522,False,none,0.232203
external_cross_check_not_training_data,034__rec_1313196__clip_001__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_001.webm,1313196,1,0,rain,rain,True,heavy,0.621714,False,none,0.221458,False,none,0.217595
external_cross_check_not_training_data,035__rec_1313196__clip_001__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_001.webm,1313196,1,1,rain,rain,True,heavy,0.619863,False,none,0.214011,False,none,0.217139
external_cross_check_not_training_data,036__rec_1313196__clip_001__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_001.webm,1313196,1,2,rain,rain,True,heavy,0.611927,False,none,0.208777,False,none,0.213712
external_cross_check_not_training_data,037__rec_1313196__clip_002__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_002.webm,1313196,2,0,rain,rain,True,heavy,0.621391,False,none,0.222984,False,none,0.223772
external_cross_check_not_training_data,038__rec_1313196__clip_002__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_002.webm,1313196,2,1,rain,rain,True,heavy,0.617363,False,none,0.23047,False,none,0.227061
external_cross_check_not_training_data,039__rec_1313196__clip_002__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_002.webm,1313196,2,2,rain,rain,True,heavy,0.617885,False,none,0.226838,False,none,0.225184
